artwork_title,description_text,index,url
"The Herring Net, 1885, Winslow Homer","In 1883 Winslow Homer moved to the small coastal village of Prouts Neck, Maine, where he created a series of paintings of the sea unparalleled in American art. Long inspired by the subject, Homer had spent summers visiting New England fishing villages during the 1870s, and in 1881–82 he made a trip to a fishing community in Cullercoats, England, that fundamentally changed his work and his life. The paintings he created after 1882 focus almost exclusively on humankind’s age-old contest with nature. Here Homer depicted the heroic efforts of fishermen at their daily work, hauling in an abundant catch of herring. In a small dory, two figures loom large against the mist on the horizon, through which the sails of the mother schooners are dimly visible. While one fisherman hauls in the netted and glistening herring, the other unloads the catch. Utilizing the teamwork so necessary for survival, both strive to steady the precarious boat as it rides the incoming swells. Homer’s isolation of these two figures underscores the monumentality of their task: the elemental struggle against a sea that both nurtures and deprives.",50.0,https://www.artic.edu/artworks/25865/the-herring-net
"Clown Torture, 1987, Bruce Nauman","Bruce Nauman’s wildly influential, relentlessly imitated work explores the poetics of confusion, anxiety, boredom, entrapment, and failure. One of the artist’s most spectacular achievements to date, Clown Torture consists of two rectangular pedestals, each supporting two pairs of stacked color monitors; two large color-video projections on two facing walls; and sound from all six video displays. The monitors play four narrative sequences in perpetual loops, each chronicling an absurd misadventure of a clown (played to brilliant effect by the actor Walter Stevens). In “No, No, No, No (Walter),” the clown incessantly screams the word no while jumping, kicking, or lying down; in “Clown with Goldfish,” the clown struggles to balance a fish bowl on the ceiling with the handle of a broom; in “Clown with Water Bucket,” the clown repeatedly opens a door booby-trapped with a bucket of water that falls on his head; and finally, in “Pete and Repeat,” the clown succumbs to the terror of a seemingly inescapable nursery rhyme. The simultaneous presentation and the relentless repetition creates an almost painful sensory overload. With both clown and viewer locked in an endless loop of failure and degradation, the humor soon turns to horror.",51.0,https://www.artic.edu/artworks/146989/clown-torture
"The Girl by the Window, 1893, Edvard Munch","Edvard Munch’s life and art — particularly his iconic work The Scream (1893; National Museum, Oslo) — have come to epitomize modern notions of anxiety. Yet the same year he painted his radical image, Munch was experimenting with other styles and themes. Frequent visits to Paris and Berlin between 1889 and 1893 brought the Norwegian artist into direct contact with the Impressionists and Symbolists. These travels encouraged him to adopt their bold brushwork, daring compositions, and imagery. But he nonetheless continued to incorporate the Romantic subjects of the northern European artists long familiar to him, such as a lone figure at an open window. This combination is powerfully manifested in The Girl by the Window, made soon after his return home to Norway.",52.0,https://www.artic.edu/artworks/154235/the-girl-by-the-window
"The Girl by the Window, 1893, Edvard Munch","In the dead of night, a young girl in her nightgown stands in a darkened room gazing out at the city. The steep angle of the floor and the deep shadows that obliterate everything in the room, save a suggestion of a piece of furniture at the lower right, create an unsettling and enigmatic scene. Loosely applied, somber brown tones mingle with violets and blues, evoking a feeling of melancholy and anticipation. The window functions as a symbolic barrier, separating the interior from the outside world. The sense of mystery is deepened and complicated by the fact that we cannot see the expression on the girl’s face, nor do we know what she covertly observes. She in turn appears unaware that, as she gazes from behind the curtain at something unknown outside, the artist and implied viewer are watching her.",52.0,https://www.artic.edu/artworks/154235/the-girl-by-the-window
"Champs de Mars: The Red Tower, 1911/23, Robert Delaunay","Robert Delaunay was four years old when the Eiffel Tower was erected in Paris in the public green space known as the Champ de Mars. One of many artists to depict the landmark, Delaunay did a series of Eiffel Tower paintings, of which the Art Institute’s example is among the best known. The artist infused the dynamism of modern life into this image by employing multiple viewpoints, rhythmic fragmentation of form, and strong color contrasts. Delaunay accented the structure’s towering presence by framing it with tall buildings and placing smaller, shorter buildings, seen from above, at its base. The top of the tower seems to soar, its massive structure augmented by winglike clouds and patches of light-filled sky.",53.0,https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower
"Champs de Mars: The Red Tower, 1911/23, Robert Delaunay","The artist first showed this painting in the winter of 1912, at the Galerie Barbazanges in Paris, where Guillaume Apollinaire described the work in a review as “unfinished, whether by design or accident.” Although Delaunay’s intent is not recorded, it is certain that by 1923, when this work was illustrated in the pages of the Bulletin de l’effort modern, it looked as it does today: the artist had repainted portions of the canvas and filled areas of reserve with paint.",53.0,https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower
"Mother and Child, 1921, Pablo Picasso","In 1917 Picasso traveled to Rome to design sets and costumes for Sergei Diaghilev’s famed Ballets Russes. Deeply impressed by the ancient and Renaissance art of that city, he began painting monumental figures inspired by antiquity. His new classical style was influenced by the finely modeled odalisques of Jean-Auguste-Dominique Ingres and the late, oddly proportioned female nudes of Pierre-Auguste Renoir. Mother and Child was also inspired by Picasso’s own life. Just three years earlier he had married Russian dancer Olga Khokhlova, and in 1921 their son Paolo was born. Between 1921 and 1923 he produced at least twelve works on the subject of mothers and children, returning to a theme that he had explored during his Blue Period. But whereas those figures are frail and anguished, his classical-period figures, with their sculptural modeling and solidity, are majestic in proportion and feeling. Here an infant sits on the mother’s lap and reaches up to touch her. The woman, dressed in a Grecian gown, gazes intently at her child. Behind them stretches a simplified background of sand, water, and sky. Picasso’s treatment of the pair is not sentimental, but the relationship expresses a serenity and stability that characterized his own life at this time.",54.0,https://www.artic.edu/artworks/109275/mother-and-child
"The Bay of Marseille, Seen from L’Estaque, c. 1885, Paul Cézanne","In a letter to his friend and teacher Camille Pissarro, Paul Cézanne compared the view of the sea from L’Estaque to a playing card, with its simple shapes and colors. The landscape’s configuration and color fascinated him. This painting is one of more than a dozen such vistas created by the artist during the 1880s. Cézanne divided the canvas into four zones—architecture, water, mountain, and sky. Although these four elements are seen repeatedly in Impressionist paintings, Cézanne’s work is very different from that of his fellow artists. Whereas their primary purpose was to record the transient effects of light, Cézanne was interested in the underlying structure and composition of the views he painted. Filling the canvas with shapes defined by strong, contrasting colors and a complex grid of horizontal, vertical, and diagonal lines, he created a highly compact, dynamic pattern of water, sky, land, and village that at once refers back to traditionally structured landscape paintings and looks forward to the innovations of Cubism. Using blocklike brushstrokes to build the space, Cézanne created a composition that seems both two- and three-dimensional. Not locked tightly in place, his forms appear to touch and shift continually, creating a sense of volume and space that strengthens the composition and brings it to life.",55.0,https://www.artic.edu/artworks/16487/the-bay-of-marseille-seen-from-l-estaque
"Cupid Chastised, 1613, Bartolomeo Manfredi","Following the example of the revolutionary early seventeenth-century artist Michelangelo Merisi da Caravaggio, Bartolomeo Manfredi chose to depict ordinary individuals in his scenes from the Bible and Greek and Roman mythology. Caravaggio had demonstrated to Manfredi and an entire generation of European artists that such lofty themes could be transformed into events experienced by ordinary people. Employing dramatic lighting and locating the action directly before the viewer, these artists were able to endow their narratives with great immediacy and power.",56.0,https://www.artic.edu/artworks/59847/cupid-chastised
"Cupid Chastised, 1613, Bartolomeo Manfredi","Cupid Chastised depicts a moment of high drama: Mars, the god of war, beats Cupid for having caused his affair with Venus, the goddess of love, which exposed him to the derision and outrage of the other gods. Venus implores him in vain to desist. Surrounded by darkness, the three figures are boldly illuminated from the left, intensifying the dynamism and impact of the composition. The sheer physicality of the figures — the crouching Venus, whose broadly realized face strays from the classical ideal; the powerful Mars, whose musculature and brilliant red drapery seem to pulsate with fury; and Cupid, whose naked flesh and recumbent position render him particularly vulnerable—conveys the violent discord of the scene. On one level a tale of domestic disturbance, the story also symbolizes the eternal conflict between love and war.",56.0,https://www.artic.edu/artworks/59847/cupid-chastised
